,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
0,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,House,flexible,f,18,26,0,1,Washington,2.0,0,0,8,283
1,20003,350.0,6,3.0,3.0,3.0,Real Bed,f,f,House,strict,f,1,1,65,2,Washington,2.0,12,38,68,343
4,20910,50.0,4,1.0,1.0,1.0,Real Bed,f,t,Townhouse,flexible,f,1,1,0,7,Silver Spring,4.0,16,46,76,351
5,20024,99.0,4,1.0,2.0,4.0,Real Bed,f,t,Boat,flexible,f,1,1,0,1,Washington,1.0,26,56,86,361
6,20012,100.0,4,2.0,2.0,2.0,Real Bed,f,t,Condominium,flexible,f,1,1,0,3,Washington,2.0,13,13,17,21
7,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
10,20912,97.0,4,1.5,2.0,2.0,Real Bed,f,f,House,moderate,f,1,1,5,4,Takoma Park,2.0,0,0,3,3
11,20910,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,1,3,Silver Spring,1.0,0,0,0,0
13,20910,99.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,7,0,7,Silver Spring,2.0,30,60,90,339
18,20712,40.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,0,1,Mount Rainier,2.0,0,0,0,0
20,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
22,20912,129.0,7,3.0,4.0,3.0,Real Bed,f,f,House,flexible,f,1,1,0,14,Takoma Park,2.3333333333333335,0,0,30,120
23,20008,149.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,1,1,46,3,Washington,1.0,0,8,8,18
24,20005,150.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,moderate,f,2,2,84,2,Washington,2.0,16,46,76,351
25,20005,175.0,4,1.5,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,25,1,Washington,4.0,26,56,86,361
26,20001,239.0,3,1.0,2.0,2.0,Real Bed,f,t,House,strict,f,1,1,4,5,Washington,1.5,10,40,70,345
29,20001,80.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,3,3,19,1,Washington,2.0,9,34,64,123
33,20001,283.0,5,2.5,2.0,2.0,Real Bed,t,t,Loft,moderate,f,1,2,15,3,Washington,2.5,0,0,22,297
34,20005,127.0,3,1.0,1.0,3.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,3,Washington,1.0,0,0,0,0
36,20001,110.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,1,Washington,3.0,0,0,0,62
38,20009,480.0,9,2.5,3.0,5.0,Real Bed,f,t,House,strict,f,27,30,5,3,Washington,1.8,7,29,55,325
39,20005,372.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,1,1,33,3,Washington,2.0,1,21,51,326
40,20001,125.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,t,1,1,11,1,Washington,1.5,9,27,57,57
43,20001,90.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,strict,f,27,30,29,3,Washington,1.6666666666666667,11,31,38,313
44,20001,110.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,flexible,f,4,4,32,2,Washington,1.5,13,40,70,345
45,20001,100.0,3,1.0,2.0,3.0,Real Bed,f,t,Apartment,strict,f,1,1,1,3,Washington,1.0,0,0,0,0
46,20009,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,15,1,Washington,2.0,3,3,10,41
49,20032,400.0,2,1.0,1.0,1.0,Airbed,f,t,Apartment,moderate,f,1,1,0,2,Washington,2.0,30,60,90,365
51,20032,160.0,4,2.0,2.0,2.0,Real Bed,f,t,House,moderate,f,1,1,5,2,Washington,2.0,0,0,0,0
52,20032,130.0,4,2.5,2.0,2.0,Real Bed,f,t,Townhouse,strict,f,2,2,1,2,Washington,2.0,11,41,71,346
58,20032,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,30,60,90,365
70,20003,157.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,moderate,f,1,1,3,2,Washington,2.0,10,35,65,324
71,20003,128.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,9,1,Washington,3.0,5,18,37,301
72,20003,135.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,6,6,Washington,2.0,6,30,45,138
74,20003,102.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,6,5,Washington,2.0,5,30,60,335
75,20003,99.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,3.0,17,17,17,22
76,20003,195.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,0,0,0,167
77,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,59,1,Washington,2.0,12,42,72,347
79,20003,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,t,1,1,0,1,Washington,2.0,2,11,19,294
80,20003,249.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,flexible,f,1,2,0,2,Washington,2.0,0,30,60,150
81,20003,88.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,3,Washington,2.0,1,1,1,25
86,20003,400.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,1.5,5,35,65,340
88,20019,215.0,10,2.0,4.0,4.0,Real Bed,f,t,House,strict,f,3,3,29,2,Washington,2.5,19,44,69,343
92,20019,65.0,4,2.0,2.0,2.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,0,0,0,29
94,20019,129.0,8,2.5,3.0,1.0,Real Bed,f,t,House,moderate,f,1,1,58,1,Washington,8.0,5,19,33,173
96,20005,299.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,34,3,Washington,2.5,13,39,69,159
97,20005,309.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,8,4,Washington,2.5,21,51,81,356
98,21403,375.0,7,1.0,2.0,4.0,Real Bed,f,f,Boat,flexible,f,1,2,0,1,Annapolis,1.75,30,60,90,365
99,20001,180.0,4,2.0,2.0,3.0,Real Bed,t,t,Apartment,moderate,f,2,2,48,7,Washington,1.3333333333333333,6,35,35,308
100,20005,149.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,t,1,3,32,3,Washington,4.0,2,29,59,334
101,20268,337.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,19,206,6,3,Washington,1.6666666666666667,13,42,42,42
102,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,7,3,Washington,2.0,25,55,85,360
103,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,6,4,Washington,3.0,30,60,90,365
