,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
0,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,House,Entire home/apt,flexible,f,18,26,0,1,Washington,2.0,0,0,8,283
1,20003,350.0,6,3.0,3.0,3.0,Real Bed,f,f,House,Entire home/apt,strict,f,1,1,65,2,Washington,2.0,12,38,68,343
2,20782,50.0,1,2.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,2,1,2,Hyattsville,1.0,0,30,60,60
3,20024,95.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
4,20910,50.0,4,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Entire home/apt,flexible,f,1,1,0,7,Silver Spring,4.0,16,46,76,351
5,20024,99.0,4,1.0,2.0,4.0,Real Bed,f,t,Boat,Entire home/apt,flexible,f,1,1,0,1,Washington,1.0,26,56,86,361
6,20012,100.0,4,2.0,2.0,2.0,Real Bed,f,t,Condominium,Entire home/apt,flexible,f,1,1,0,3,Washington,2.0,13,13,17,21
7,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
8,20743,38.0,2,1.5,1.0,1.0,Real Bed,f,f,House,Private room,moderate,t,1,8,1,2,Capitol Heights,2.0,25,55,85,360
10,20912,97.0,4,1.5,2.0,2.0,Real Bed,f,f,House,Entire home/apt,moderate,f,1,1,5,4,Takoma Park,2.0,0,0,3,3
11,20910,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,1,3,Silver Spring,1.0,0,0,0,0
12,20910,50.0,2,1.0,1.0,1.0,Real Bed,f,f,Condominium,Private room,flexible,f,1,1,0,2,Silver Spring,2.0,30,60,90,365
13,20910,99.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,7,0,7,Silver Spring,2.0,30,60,90,339
15,20712,52.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,1,1,Mount Rainier,2.0,24,54,84,359
16,20782,23.0,1,1.0,1.0,1.0,Real Bed,f,f,Condominium,Private room,flexible,t,1,1,1,1,Hyattsville,1.0,3,28,58,333
17,20910,200.0,2,1.0,1.0,2.0,Real Bed,f,f,Apartment,Shared room,flexible,f,1,1,0,1,Silver Spring,1.0,28,58,88,363
18,20712,40.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,1,Mount Rainier,2.0,0,0,0,0
19,20912,135.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,Private room,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
20,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,moderate,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
21,20912,225.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,Private room,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
22,20912,129.0,7,3.0,4.0,3.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,14,Takoma Park,2.3333333333333335,0,0,30,120
23,20008,149.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,Entire home/apt,strict,f,1,1,46,3,Washington,1.0,0,8,8,18
24,20005,150.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,2,2,84,2,Washington,2.0,16,46,76,351
25,20005,175.0,4,1.5,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,25,1,Washington,4.0,26,56,86,361
26,20001,239.0,3,1.0,2.0,2.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,4,5,Washington,1.5,10,40,70,345
27,20001,65.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,2,2,Washington,2.0,6,33,63,63
28,20001,71.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,83,2,Washington,2.0,10,23,49,319
29,20001,80.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,t,3,3,19,1,Washington,2.0,9,34,64,123
30,20001,250.0,4,2.5,1.0,3.0,Real Bed,f,t,House,Private room,strict,f,3,3,94,1,Washington,1.3333333333333333,14,35,65,340
31,20001,138.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,4,5,47,1,Washington,2.0,30,60,90,365
32,20001,94.0,2,1.0,1.0,1.0,Real Bed,t,f,House,Private room,moderate,f,1,1,150,2,Washington,2.0,6,26,41,308
33,20001,283.0,5,2.5,2.0,2.0,Real Bed,t,t,Loft,Entire home/apt,moderate,f,1,2,15,3,Washington,2.5,0,0,22,297
34,20005,127.0,3,1.0,1.0,3.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,3,Washington,1.0,0,0,0,0
35,20001,79.0,6,1.0,1.0,3.0,Real Bed,f,f,Townhouse,Private room,strict,f,2,2,69,1,Washington,2.0,21,46,76,349
36,20001,110.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,3.0,0,0,0,62
37,20001,38.0,6,1.0,1.0,6.0,Real Bed,f,f,Dorm,Shared room,flexible,t,3,3,2,1,Washington,1.0,28,58,88,363
38,20009,480.0,9,2.5,3.0,5.0,Real Bed,f,t,House,Entire home/apt,strict,f,27,30,5,3,Washington,1.8,7,29,55,325
39,20005,372.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,33,3,Washington,2.0,1,21,51,326
40,20001,125.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,t,1,1,11,1,Washington,1.5,9,27,57,57
41,20005,89.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,3,1,Washington,2.0,12,41,71,161
42,20001,80.0,1,1.0,1.0,1.0,Airbed,f,t,Apartment,Shared room,moderate,f,2,2,5,1,Washington,1.0,25,55,85,360
43,20001,90.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,27,30,29,3,Washington,1.6666666666666667,11,31,38,313
44,20001,110.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,4,4,32,2,Washington,1.5,13,40,70,345
45,20001,100.0,3,1.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,1,3,Washington,1.0,0,0,0,0
46,20009,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,15,1,Washington,2.0,3,3,10,41
47,20032,55.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,5,5,0,1,Washington,1.0,30,60,90,364
48,20032,55.0,3,1.0,1.0,2.0,Real Bed,f,t,House,Private room,strict,f,5,5,5,1,Washington,1.5,27,57,87,362
49,20032,400.0,2,1.0,1.0,1.0,Airbed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,2,Washington,2.0,30,60,90,365
50,20032,35.0,1,1.0,1.0,1.0,Futon,f,t,House,Private room,strict,f,5,5,0,1,Washington,1.0,25,55,85,360
51,20032,160.0,4,2.0,2.0,2.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,5,2,Washington,2.0,0,0,0,0
52,20032,130.0,4,2.5,2.0,2.0,Real Bed,f,t,Townhouse,Entire home/apt,strict,f,2,2,1,2,Washington,2.0,11,41,71,346
53,20032,50.0,1,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Private room,flexible,f,1,1,0,1,Washington,1.0,20,43,54,194
54,20032,150.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
55,20032,40.0,2,1.5,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,9,1,Washington,2.0,0,0,0,267
56,20032,45.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,5,5,0,1,Washington,2.0,26,56,86,354
