,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
2,20782,50.0,1,2.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,2,1,2,Hyattsville,1.0,0,30,60,60
3,20024,95.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
8,20743,38.0,2,1.5,1.0,1.0,Real Bed,f,f,House,moderate,t,1,8,1,2,Capitol Heights,2.0,25,55,85,360
12,20910,50.0,2,1.0,1.0,1.0,Real Bed,f,f,Condominium,flexible,f,1,1,0,2,Silver Spring,2.0,30,60,90,365
15,20712,52.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,1,1,Mount Rainier,2.0,24,54,84,359
16,20782,23.0,1,1.0,1.0,1.0,Real Bed,f,f,Condominium,flexible,t,1,1,1,1,Hyattsville,1.0,3,28,58,333
19,20912,135.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
21,20912,225.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
27,20001,65.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,2,2,Washington,2.0,6,33,63,63
28,20001,71.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,83,2,Washington,2.0,10,23,49,319
30,20001,250.0,4,2.5,1.0,3.0,Real Bed,f,t,House,strict,f,3,3,94,1,Washington,1.3333333333333333,14,35,65,340
31,20001,138.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,5,47,1,Washington,2.0,30,60,90,365
32,20001,94.0,2,1.0,1.0,1.0,Real Bed,t,f,House,moderate,f,1,1,150,2,Washington,2.0,6,26,41,308
35,20001,79.0,6,1.0,1.0,3.0,Real Bed,f,f,Townhouse,strict,f,2,2,69,1,Washington,2.0,21,46,76,349
41,20005,89.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,3,1,Washington,2.0,12,41,71,161
47,20032,55.0,1,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,5,5,0,1,Washington,1.0,30,60,90,364
48,20032,55.0,3,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,5,5,5,1,Washington,1.5,27,57,87,362
50,20032,35.0,1,1.0,1.0,1.0,Futon,f,t,House,strict,f,5,5,0,1,Washington,1.0,25,55,85,360
53,20032,50.0,1,1.0,1.0,1.0,Real Bed,f,t,Townhouse,flexible,f,1,1,0,1,Washington,1.0,20,43,54,194
54,20032,150.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
55,20032,40.0,2,1.5,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,9,1,Washington,2.0,0,0,0,267
56,20032,45.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,5,5,0,1,Washington,2.0,26,56,86,354
57,20032,55.0,2,2.5,1.0,1.0,Real Bed,f,t,Townhouse,strict,f,2,2,0,2,Washington,2.0,10,40,70,345
59,20020,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,4,1,Washington,2.0,3,3,21,296
60,20032,94.0,4,1.5,1.0,1.0,Real Bed,t,t,House,flexible,f,3,4,18,1,Washington,4.0,26,56,86,361
61,20020,65.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,2,1,Washington,1.0,1,31,61,336
62,20032,64.0,5,1.5,1.0,1.0,Real Bed,t,t,House,flexible,t,3,4,115,1,Washington,5.0,1,31,61,336
63,20020,59.0,2,1.0,1.0,1.0,Real Bed,f,t,Townhouse,strict,f,1,1,18,1,Washington,2.0,19,48,78,353
65,20032,74.0,3,1.5,1.0,1.0,Real Bed,t,t,House,flexible,t,3,4,33,1,Washington,3.0,1,31,61,336
66,20020,69.0,3,1.0,1.0,1.0,Real Bed,f,f,House,strict,t,2,2,8,1,Washington,3.0,22,48,78,353
67,20020,49.0,1,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,5,5,1,1,Washington,1.0,21,51,81,356
68,20020,60.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,2.0,30,59,89,364
69,20020,69.0,2,1.0,1.0,1.0,Real Bed,f,f,House,strict,t,2,2,19,1,Washington,2.0,13,43,73,348
73,20003,90.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,6,2,Washington,2.0,0,22,52,327
78,20003,95.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,2,2,1,1,Washington,2.0,16,16,16,287
82,20003,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,2,1,Washington,2.0,0,0,0,0
84,20003,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,3,3,0,1,Washington,2.0,1,30,30,30
85,20003,85.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,145,3,Washington,2.0,9,39,69,344
87,20003,120.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,flexible,t,1,1,8,2,Washington,2.0,29,59,89,364
89,20019,90.0,2,0.5,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,2,Washington,2.0,28,58,88,363
90,20019,50.0,2,1.0,1.0,1.0,Real Bed,f,f,House,moderate,f,1,1,23,2,Washington,2.0,8,32,52,324
91,20019,100.0,5,1.0,1.0,2.0,Real Bed,f,t,House,flexible,f,1,1,12,1,Washington,2.5,5,31,61,336
93,20019,55.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,2,2,4,2,Washington,2.0,21,51,81,356
95,20019,45.0,1,1.0,1.0,1.0,Futon,f,f,House,flexible,f,2,2,4,1,Washington,1.0,0,0,0,275
105,20005,99.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,1,Washington,2.0,13,13,13,13
113,20001,95.0,2,2.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,2.0,2,32,62,337
116,20001,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,20,Washington,1.0,30,60,90,365
125,20001,104.0,3,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,11,2,Washington,3.0,12,39,69,344
134,20001,110.0,2,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,33,2,Washington,2.0,13,40,70,345
140,20001,87.0,3,2.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,2,2,Washington,1.5,22,52,82,357
144,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,"Washington, D.C.",2.0,0,0,0,273
149,20001,109.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,2,2,1,2,Washington,1.0,0,0,0,273
153,20001,97.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,2,1,Washington,2.0,18,48,78,353
154,20001,99.0,2,1.0,1.0,1.0,Pull-out Sofa,f,t,Loft,moderate,f,1,1,51,1,Washington,2.0,24,54,84,84
157,20001,110.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,10,1,Washington,2.0,12,42,72,330
