,Model,Radj,Error
0,LR,0.3263991295056794,134.65
1,LR,0.3203606386119672,138.33
2,LR,-4.370719362355192e+17,112407065858.97
3,LR,-2.376433524727137e+19,828857718133.39
4,LR,-2.4469840680783324e+18,265970041800.78
5,LR,0.21152648495421011,153.52
6,LR,0.2661350894171668,148.11
7,LR,0.23276875538546105,151.44
8,LR,-0.0055768233534769784,173.37
9,LR,0.3194148616772563,135.59
10,LR,0.3062920845708157,136.89
11,LR,0.015518227999758327,58.66
12,LR,0.4045136090282335,127.95
13,LR,0.29739705994795407,149.17
14,LR,0.2864217407890579,150.33
15,LR,0.2833707678338274,150.66
16,LR,0.2825238117300177,150.74
17,LR,0.41101850695791786,127.12
18,LR,0.4196815238999402,126.31
19,LR,0.4757569166039638,72.12
20,RF,0.35807597898253396,132.84438327667044
21,RF,0.5335570690266715,68.03111650866967
22,LR,0.19529336100610495,21.95
23,RF,0.2163887559323182,21.664137455730724
24,LR,0.33260628327331776,48.03
25,RF,0.510131818044246,41.14611487555566
26,LR,0.4757569166039638,72.12
27,RF,0.5335570690266715,68.03111650866967
28,LR,0.4779535495336069,72.04
29,RF,0.5165784563759999,69.32465723662587
